position,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,playerID,PlayerName2,WeightedDegree,Modularity
WR,6.555749,5,0.346691,0.368009,0.000295,0.016428,0.016426,0.000525,0.154201,44985,Isaiah McKenzie,6.555749,5
TE,5.426798,5,0.350159,0.37369,0.000434,0.021089,0.021086,0.000586,0.196197,47879,Dawson Knox,5.426798,5
OLB,12.743628,5,0.35533,0.382403,0.000852,0.021502,0.021505,0.000693,0.209199,47939,Justin Hollins,12.743628,1
CB,3.176102,5,0.328779,0.351797,0.000228,0.011628,0.01163,0.000402,0.110917,47862,David Long,3.176102,3
CB,9.414994,5,0.342527,0.367879,0.000206,0.017992,0.017994,0.000497,0.172228,42816,Troy Hill,9.414994,0
FS,3.494395,5,0.330543,0.350162,0.000125,0.008612,0.008613,0.000316,0.083448,52607,Jordan Fuller,3.494395,3
DT,14.886814,5,0.364583,0.394968,0.001901,0.027893,0.027897,0.000902,0.278977,53073,Teair Tart,14.886814,7
WR,1.045464,5,0.313837,0.32881,0.000018,0.004641,0.004641,0.00024,0.042766,42818,Jake Kumerow,1.045464,5
FB,1.816367,5,0.330898,0.347024,0.000023,0.007985,0.007984,0.000234,0.074714,53079,Reggie Gilliam,1.816367,5
OLB,7.724387,5,0.359645,0.386201,0.00093,0.01936,0.019363,0.000622,0.192393,53564,Rashad Weaver,7.724387,7
TE,2.472244,5,0.331825,0.349968,0.000132,0.009837,0.009836,0.000375,0.090607,53855,Quintin Morris,2.472244,5
ILB,30.560898,5,0.36957,0.403301,0.003178,0.038362,0.038367,0.001212,0.38273,47971,David Long,30.560898,7
NT,6.212617,5,0.338462,0.362608,0.000551,0.013841,0.013844,0.000501,0.133864,48462,Kevin Strong,6.212617,7
DE,16.479707,5,0.36597,0.397078,0.002924,0.0271,0.027104,0.001037,0.270459,42031,Denico Autry,16.479707,7
OLB,23.151442,5,0.378751,0.412035,0.005087,0.045995,0.046001,0.00137,0.425861,53447,Jaelan Phillips,23.151442,5
DE,31.281538,5,0.372972,0.406807,0.00316,0.046091,0.046096,0.00129,0.425081,47796,Christian Wilkins,31.281538,5
ILB,34.711069,5,0.384519,0.417944,0.003169,0.056492,0.056499,0.001281,0.518353,43503,Elandon Roberts,34.711069,5
OLB,10.703475,5,0.378193,0.409177,0.003599,0.038659,0.038665,0.001165,0.358085,38548,Melvin Ingram,10.703475,5
DT,7.526924,5,0.348259,0.36987,0.000129,0.016172,0.016173,0.000376,0.147466,40030,John Jenkins,7.526924,5
FS,22.386081,5,0.368686,0.400216,0.002285,0.042806,0.042811,0.001118,0.392851,52478,Brandon Jones,22.386081,5
CB,8.380489,5,0.361672,0.388095,0.000508,0.027883,0.027887,0.000655,0.256227,48476,Nik Needham,8.380489,5
DE,20.107547,5,0.374241,0.405714,0.002918,0.04073,0.040736,0.001164,0.377872,46307,Zach Sieler,20.107547,5
DE,9.334603,5,0.363208,0.389762,0.000982,0.025352,0.025356,0.000731,0.233941,43321,Emmanuel Ogbah,9.334603,5
ILB,13.695426,5,0.380905,0.408247,0.001991,0.039121,0.039126,0.000922,0.359458,44887,Duke Riley,13.695426,5
CB,11.972846,5,0.373062,0.402522,0.001586,0.038997,0.039003,0.000909,0.357574,54936,Kader Kohou,11.972846,5
OLB,4.228084,5,0.322919,0.346104,0.000174,0.009422,0.009424,0.000379,0.088303,42444,Trey Flowers,4.228084,3
RB,22.531883,5,0.356647,0.384621,0.001735,0.031456,0.031451,0.000997,0.291774,54528,James Cook,22.531883,5
OLB,14.31879,5,0.365362,0.39592,0.001292,0.035376,0.03538,0.000859,0.325643,53460,Odafe Oweh,14.31879,5
SS,25.807927,5,0.371981,0.406472,0.002112,0.053749,0.053755,0.001146,0.492912,44999,Chuck Clark,25.807927,5
FS,5.301737,5,0.35,0.375639,0.000508,0.018358,0.01836,0.000554,0.171617,53533,Brandon Stephens,5.301737,5
SS,6.947267,5,0.35864,0.384232,0.001022,0.026551,0.026555,0.000595,0.245122,52627,Geno Stone,6.947267,5
FS,13.618273,5,0.350318,0.379978,0.001839,0.034034,0.034038,0.000887,0.311055,44854,Marcus Williams,13.618273,5
DE,6.505394,5,0.345524,0.372067,0.000929,0.023253,0.023257,0.000652,0.214385,35454,Jason Pierre-Paul,6.505394,5
ILB,16.889527,5,0.359226,0.389123,0.000759,0.034544,0.034548,0.00075,0.316373,37778,Josh Bynes,16.889527,5
WR,1.541806,5,0.326548,0.343312,0.000029,0.007281,0.007281,0.000266,0.067804,54613,Khalil Shakir,1.541806,5
DE,22.929408,5,0.369837,0.405768,0.005369,0.043207,0.043213,0.001498,0.404084,33131,Calais Campbell,22.929408,5
OLB,0.412611,6,0.276879,0.293939,0.000013,0.002511,0.002511,0.000192,0.023676,48364,Del'Shawn Phillips,0.412611,5
DT,18.207173,5,0.370727,0.40474,0.002225,0.044029,0.044034,0.001157,0.408479,52479,Justin Madubuike,18.207173,5
FS,25.431608,5,0.367279,0.400152,0.002127,0.046744,0.04675,0.001052,0.427353,46080,Minkah Fitzpatrick,25.431608,5
ILB,28.73298,5,0.364066,0.395498,0.00126,0.042821,0.042827,0.000922,0.390796,47793,Devin Bush,28.73298,5
DT,23.646737,5,0.365102,0.3979,0.003137,0.038894,0.038899,0.00111,0.35943,37104,Cameron Heyward,23.646737,5
WR,0.911649,5,0.300488,0.31618,0.000054,0.003343,0.003343,0.000254,0.031489,52615,Isaiah Hodgins,0.911649,5
CB,12.780175,5,0.363293,0.39263,0.000821,0.034825,0.03483,0.000735,0.319267,45395,Arthur Maulet,12.780175,5
OLB,16.054423,5,0.365015,0.394903,0.001505,0.03239,0.032394,0.000793,0.298883,48089,Malik Reed,16.054423,5
DT,10.539347,5,0.355084,0.377716,0.000257,0.015475,0.015477,0.000406,0.150251,46144,Derrick Nnadi,10.539347,0
ILB,16.705084,5,0.345601,0.372078,0.001101,0.019637,0.01964,0.000762,0.19515,48259,Darius Harris,16.705084,7
SS,20.015836,5,0.377729,0.408258,0.002793,0.039174,0.039179,0.001127,0.385352,46137,Justin Reid,20.015836,0
DT,14.469426,5,0.368421,0.398701,0.003129,0.025933,0.025937,0.001071,0.259076,43326,Chris Jones,14.469426,0
OLB,14.423941,5,0.359142,0.389459,0.002806,0.025875,0.025878,0.001042,0.256708,42406,Frank Clark,14.423941,0
DE,7.7315,5,0.344211,0.368539,0.002176,0.013952,0.013954,0.000743,0.140011,52585,Michael Danna,7.7315,0
TE,0.261366,5,0.290237,0.305152,0,0.002541,0.002542,0.00015,0.023798,48011,Tommy Sweeney,0.261366,0
FS,19.172963,5,0.382324,0.414459,0.002594,0.048841,0.048847,0.001174,0.451589,42485,Adrian Amos,19.172963,5
OLB,28.14673,5,0.385965,0.421764,0.006038,0.054166,0.054173,0.001628,0.505751,42381,Preston Smith,28.14673,5
OLB,16.558681,5,0.379591,0.409643,0.00228,0.040699,0.040705,0.000987,0.377635,47795,Rashan Gary,16.558681,5
NT,26.232146,5,0.380905,0.412835,0.003256,0.04414,0.044146,0.001233,0.410702,43338,Jarran Reed,26.232146,5
SS,12.612769,5,0.376805,0.406504,0.001256,0.041044,0.041048,0.000912,0.378788,47804,Darnell Savage,12.612769,5
ILB,4.86196,5,0.333839,0.353929,0.000047,0.011485,0.011486,0.000282,0.105486,53649,Isaiah McDuffie,4.86196,6
DE,26.95321,5,0.378285,0.410281,0.003499,0.043611,0.043616,0.001183,0.405218,43316,Kenny Clark,26.95321,5
CB,7.491763,5,0.363379,0.390249,0.001423,0.025463,0.025467,0.000692,0.237686,46087,Jaire Alexander,7.491763,2
DT,11.666951,5,0.360234,0.384567,0.000766,0.022982,0.022985,0.000667,0.213888,46141,Nathan Shepherd,11.666951,5
ILB,20.588613,5,0.378193,0.406396,0.002054,0.041039,0.041045,0.000926,0.3783,47881,Quincy Williams,20.588613,5
CB,22.590672,5,0.380905,0.412608,0.003221,0.043316,0.043322,0.001214,0.402274,54469,Ahmad Gardner,22.590672,5
OLB,24.342497,5,0.376989,0.407933,0.002884,0.044824,0.044829,0.001137,0.412254,42467,Kwon Alexander,24.342497,5
DT,15.537849,5,0.374332,0.403333,0.001909,0.037784,0.037789,0.000952,0.348036,43301,Sheldon Rankins,15.537849,5
DE,21.084911,5,0.376805,0.407879,0.003759,0.038098,0.038103,0.001222,0.35697,44929,Carl Lawson,21.084911,5
ILB,1.909354,5,0.306712,0.322175,0.000002,0.005136,0.005136,0.000196,0.04727,53575,Jamien Sherwood,1.909354,0
FS,0.839329,6,0.297125,0.316959,0.000009,0.006255,0.006256,0.000189,0.057564,43508,Will Parks,0.839329,5
DE,11.400198,5,0.367279,0.395379,0.002154,0.027163,0.027167,0.000979,0.254531,46204,John Franklin-Myers,11.400198,5
NT,25.915181,5,0.385578,0.417597,0.005342,0.044485,0.044491,0.001381,0.416186,47786,Quinnen Williams,25.915181,5
DE,5.398703,5,0.332398,0.350768,0.000108,0.008017,0.008018,0.000297,0.075749,38589,Vinny Curry,5.398703,4
DE,12.186536,5,0.372701,0.398409,0.000722,0.028363,0.028367,0.000638,0.261499,54582,Micheal Clemons,12.186536,5
DT,10.023612,5,0.359226,0.382089,0.000566,0.018245,0.018247,0.00054,0.169519,44815,Solomon Thomas,10.023612,5
OLB,8.212004,5,0.348732,0.373128,0.000631,0.019595,0.019597,0.00056,0.181664,54491,Jermaine Johnson,8.212004,5
QB,48.185944,5,0.379124,0.431407,0.017427,0.0813,0.081288,0.003213,0.794369,42345,Marcus Mariota,48.185944,3
WR,2.607395,5,0.331397,0.34921,0.00005,0.008827,0.008827,0.000335,0.086258,46992,KhaDarel Hodge,2.607395,3
WR,10.617631,5,0.354023,0.382165,0.001077,0.026069,0.026066,0.000925,0.253959,54473,Drake London,10.617631,3
WR,0.911649,6,0.318248,0.334134,0.000008,0.004882,0.004882,0.000218,0.047382,52489,Bryan Edwards,0.911649,3
WR,2.945186,5,0.338239,0.356948,0.000081,0.010612,0.010611,0.000379,0.104617,37077,A.J. Green,2.945186,6
TE,12.417589,5,0.361163,0.388203,0.000957,0.030564,0.03056,0.000899,0.294662,39983,Zach Ertz,12.417589,6
WR,12.138982,5,0.34889,0.374556,0.001191,0.024297,0.024293,0.000859,0.236761,47808,Marquise Brown,12.138982,6
QB,57.702318,4,0.387032,0.435877,0.019673,0.082942,0.08293,0.003154,0.805867,47784,Kyler Murray,57.702318,6
WR,8.568051,5,0.346691,0.368777,0.00039,0.018025,0.018023,0.000629,0.175916,48646,Greg Dortch,8.568051,6
WR,2.53457,5,0.325375,0.342868,0.000177,0.007627,0.007627,0.000411,0.075849,46256,Ray-Ray McCloud,2.53457,0
FB,4.084836,5,0.328288,0.350152,0.000211,0.012169,0.012167,0.000468,0.11989,40078,Kyle Juszczyk,4.084836,0
QB,25.360666,5,0.371532,0.41039,0.00765,0.053234,0.053227,0.002044,0.52369,41291,Jimmy Garoppolo,25.360666,0
WR,9.912464,5,0.358891,0.38368,0.003506,0.021527,0.021525,0.000945,0.212883,52433,Brandon Aiyuk,9.912464,0
QB,16.322811,5,0.363208,0.403831,0.008361,0.058966,0.058958,0.002046,0.567082,45536,Cooper Rush,16.322811,1
WR,16.558422,5,0.359561,0.392716,0.002445,0.042562,0.042556,0.001283,0.405791,52425,CeeDee Lamb,16.558422,1
RB,92.959538,5,0.380341,0.421255,0.010501,0.055893,0.055885,0.002229,0.554489,44820,Christian McCaffrey,92.959538,1
QB,9.0432,5,0.346769,0.381623,0.004753,0.033399,0.033396,0.001548,0.328117,45159,P.J. Walker,9.0432,1
T,6.83837,5,0.348023,0.373604,0.000809,0.019174,0.019171,0.000819,0.19159,44876,Taylor Moton,6.83837,1
QB,0.55566,5,0.30489,0.321569,0.000015,0.00546,0.005459,0.000266,0.053956,52530,Jacob Eason,0.55566,1
TE,8.574321,5,0.33355,0.361916,0.000766,0.024143,0.024139,0.000771,0.235427,44959,George Kittle,8.574321,0
RB,56.939898,4,0.378844,0.414177,0.007014,0.048982,0.048976,0.001708,0.478025,46377,Jeffery Wilson,56.939898,4
RB,73.59364,5,0.373062,0.41881,0.008288,0.077172,0.077161,0.002291,0.723798,44816,Leonard Fournette,73.59364,2
QB,38.290155,5,0.3781,0.42974,0.016483,0.087917,0.087905,0.003134,0.829264,25511,Tom Brady,38.290155,0
TE,5.76226,5,0.338387,0.361028,0.00024,0.016838,0.016836,0.000531,0.158388,54571,Cade Otton,5.76226,0
WR,11.121634,5,0.348337,0.37619,0.000929,0.029045,0.029041,0.00097,0.274315,41233,Mike Evans,11.121634,0
WR,13.486914,5,0.349841,0.379297,0.001033,0.030637,0.030633,0.000972,0.288526,44896,Chris Godwin,13.486914,0
WR,3.429759,5,0.334564,0.354946,0.000144,0.015253,0.015252,0.000448,0.140837,42369,Breshad Perriman,3.429759,0
WR,5.84046,5,0.335147,0.357089,0.000174,0.015162,0.01516,0.000528,0.144322,47991,Scott Miller,5.84046,0
C,2.022059,5,0.3207,0.336991,0.000182,0.006025,0.006024,0.000383,0.057331,48512,Ryan Bates,2.022059,5
NT,4.767096,5,0.329764,0.350292,0.000343,0.009785,0.009787,0.000385,0.089996,44905,Montravius Adams,4.767096,5
NT,8.910532,5,0.335951,0.355519,0.000061,0.012477,0.012477,0.000355,0.114627,53602,Tedarrell Slaton,8.910532,5
G,4.227941,5,0.339731,0.360801,0.000697,0.014503,0.014501,0.000574,0.138946,35472,Rodger Saffold,4.227941,1
RB,65.761966,5,0.367981,0.407165,0.005119,0.05151,0.051502,0.001762,0.502848,54616,Tyler Allgeier,65.761966,1
G,1.838235,5,0.310985,0.326926,0.000141,0.004467,0.004466,0.00035,0.045474,47797,Chris Lindstrom,1.838235,1
RB,46.336189,5,0.352968,0.385639,0.002624,0.034431,0.034426,0.001276,0.336686,39975,Cordarrelle Patterson,46.336189,2
G,3.860294,5,0.326202,0.34592,0.000178,0.0098,0.009799,0.000441,0.096667,45550,Elijah Wilkinson,3.860294,1
G,0.367647,5,0.293333,0.305076,0.000003,0.00171,0.00171,0.000147,0.016727,46103,Will Hernandez,0.367647,6
RB,54.881272,5,0.375335,0.414015,0.007077,0.057033,0.057024,0.001933,0.55116,52630,Eno Benjamin,54.881272,6
RB,49.747689,5,0.358556,0.39171,0.002704,0.040358,0.040352,0.00138,0.393771,44917,James Conner,49.747689,5
C,0.735294,6,0.299203,0.313788,0.000019,0.002871,0.00287,0.000202,0.028592,37130,Rodney Hudson,0.735294,0
G,0.735294,6,0.285555,0.299913,0.000004,0.002275,0.002274,0.000173,0.022247,39965,Justin Pugh,0.735294,1
G,3.860294,5,0.340407,0.360216,0.000422,0.010756,0.010755,0.000483,0.106144,53477,Aaron Banks,3.860294,1
C,1.470588,5,0.319039,0.332998,0.000057,0.003847,0.003846,0.000252,0.038651,43821,Jake Brendel,1.470588,0
C,1.654412,5,0.305192,0.323604,0.000033,0.006359,0.006358,0.000268,0.061826,45069,Daniel Brunskill,1.654412,0
CB,6.954914,5,0.333261,0.3554,0.000262,0.014261,0.014263,0.000491,0.139163,46686,Grant Haley,6.954914,1
RB,74.90429,5,0.364756,0.404968,0.00663,0.055214,0.055206,0.001946,0.53239,43293,Ezekiel Elliott,74.90429,1
G,2.389706,5,0.330189,0.348604,0.000182,0.009285,0.009283,0.000396,0.090251,41242,Zack Martin,2.389706,7
T,3.662715,5,0.330969,0.348225,0.000208,0.007997,0.007996,0.000404,0.078477,54489,Tyler Smith,3.662715,1
RB,57.811577,5,0.366492,0.405595,0.007588,0.052743,0.052735,0.001971,0.507244,47911,Tony Pollard,57.811577,1
G,2.941176,5,0.31937,0.338452,0.000185,0.009397,0.009395,0.00039,0.091102,47873,Connor McGovern,2.941176,6
C,2.573529,5,0.325238,0.343734,0.000215,0.007337,0.007336,0.000427,0.074403,44882,Pat Elflein,2.573529,1
RB,36.874994,5,0.354186,0.385422,0.001594,0.033798,0.033793,0.00108,0.327657,44901,D'Onta Foreman,36.874994,0
DT,11.192873,5,0.328358,0.349848,0.000118,0.011369,0.011369,0.000442,0.111987,48770,Marquise Copeland,11.192873,1
WR,11.414311,5,0.357557,0.389924,0.002262,0.032058,0.032053,0.001151,0.314769,46093,D.J. Moore,11.414311,1
T,2.757353,5,0.33247,0.350909,0.000432,0.00919,0.009189,0.000473,0.091183,46078,Mike McGlinchey,2.757353,5
RB,26.036747,5,0.360318,0.394318,0.002972,0.040674,0.040668,0.001345,0.384437,54556,Rachaad White,26.036747,0
G,3.492647,5,0.331682,0.353149,0.000354,0.012857,0.012855,0.000501,0.122375,42474,Shaquille Mason,3.492647,5
T,3.308824,5,0.328148,0.347673,0.000222,0.009594,0.009592,0.000406,0.091997,42377,Donovan Smith,3.308824,5
T,1.654412,5,0.313582,0.330801,0.000066,0.006609,0.006608,0.000294,0.062192,52421,Tristan Wirfs,1.654412,5
TE,2.2585,5,0.328148,0.346742,0.000065,0.008817,0.008816,0.000366,0.085791,48723,Parker Hesse,2.2585,3
WR,23.481812,5,0.359897,0.393247,0.003098,0.039,0.038994,0.001317,0.38031,47819,Deebo Samuel,23.481812,0
WR,7.603467,5,0.346223,0.370335,0.000539,0.021374,0.021371,0.000689,0.204948,45052,Noah Brown,7.603467,1
DE,1.428571,5,0.29747,0.309827,0,0.002167,0.002167,0.000144,0.020863,44838,Takkarist McKinley,1.428571,1
WR,3.372702,5,0.341161,0.363139,0.000417,0.01315,0.013149,0.000541,0.129889,53633,Shi Smith,3.372702,1
FS,6.920907,5,0.336833,0.360855,0.000397,0.015823,0.015825,0.000537,0.157536,47899,Amani Hooker,6.920907,7
OLB,1.886147,5,0.305616,0.322478,0.000021,0.004316,0.004317,0.000199,0.040719,46457,Olasunkanmi Adeniyi,1.886147,0
DT,7.27322,5,0.330401,0.350368,0.000375,0.009029,0.00903,0.000358,0.089777,53900,Naquan Jones,7.27322,7
OLB,8.053769,5,0.345834,0.369372,0.000202,0.018573,0.018575,0.000471,0.170582,47934,Andrew Van Ginkel,8.053769,5
C,2.920168,5,0.33247,0.350173,0.000173,0.009342,0.009341,0.000412,0.088368,42392,Mitch Morse,2.920168,0
DT,3.52404,5,0.336098,0.356494,0.000116,0.011999,0.012001,0.00031,0.111149,54541,Travis Jones,3.52404,5
DE,6.20513,5,0.336612,0.359361,0.000164,0.017984,0.017986,0.000452,0.162944,54549,DeMarvin Leal,6.20513,5
DE,20.428325,5,0.37234,0.402381,0.001287,0.03853,0.038534,0.000963,0.356397,43426,Dean Lowry,20.428325,5
ILB,30.659837,5,0.382324,0.415054,0.002295,0.053335,0.053341,0.001238,0.493495,54487,Quay Walker,30.659837,5
OLB,4.807233,5,0.355823,0.379221,0.000439,0.01833,0.018333,0.000512,0.170116,54644,Kingsley Enagbare,4.807233,5
TE,6.826863,5,0.348811,0.373788,0.000485,0.019913,0.01991,0.000693,0.193111,53433,Kyle Pitts,6.826863,3
CB,1.419731,6,0.306529,0.323333,0.000015,0.004681,0.004681,0.000223,0.0461,54607,Cobie Durant,1.419731,1
T,9.177421,5,0.354512,0.378788,0.000983,0.021202,0.021198,0.000815,0.207619,38779,Kelvin Beachum,9.177421,6
WR,3.843746,5,0.332685,0.352024,0.000222,0.010905,0.010904,0.000436,0.106582,52625,Jauan Jennings,3.843746,0
C,1.838235,5,0.316092,0.332781,0.000054,0.005933,0.005932,0.000294,0.057711,52554,Tyler Biadasz,1.838235,3
RB,1.149068,6,0.270033,0.282619,0,0.001482,0.001482,0.000148,0.014387,52484,Ke'Shawn Vaughn,1.149068,1
WR,3.509631,5,0.330543,0.349156,0.000123,0.009423,0.009422,0.000372,0.088396,37079,Julio Jones,3.509631,6
G,0.551471,6,0.287206,0.301169,0.000006,0.002132,0.002132,0.000173,0.02044,53009,Nick Leverett,0.551471,5
C,2.757353,5,0.335439,0.355584,0.000665,0.010343,0.010342,0.000465,0.098738,53524,Robert Hainsey,2.757353,5
T,2.927421,5,0.332973,0.352727,0.000212,0.011288,0.011286,0.000463,0.109877,47814,Kaleb McGary,2.927421,5
T,5.882353,5,0.335585,0.35895,0.000449,0.014613,0.014611,0.00062,0.142014,41232,Jake Matthews,5.882353,5
T,2.389706,5,0.329764,0.345898,0.000123,0.00717,0.007168,0.000343,0.06991,52938,Terence Steele,2.389706,6
WR,3.588538,5,0.330047,0.347695,0.000095,0.009944,0.009943,0.00038,0.095368,46150,Michael Gallup,3.588538,4
TE,3.849797,5,0.340708,0.362987,0.000284,0.013235,0.013233,0.000532,0.130632,46170,Ian Thomas,3.849797,1
CB,9.595328,5,0.35008,0.378236,0.001235,0.023814,0.023818,0.00078,0.231253,54677,Derion Kendrick,9.595328,1
T,2.941176,5,0.320233,0.337338,0.000124,0.005914,0.005913,0.000306,0.0587,35443,Trent Williams,2.941176,0
CB,4.957346,5,0.35192,0.374123,0.000156,0.018153,0.018156,0.00037,0.165313,46312,Keion Crossen,4.957346,5
OLB,13.576891,5,0.357973,0.387424,0.00228,0.02986,0.029864,0.000856,0.275024,46902,Robert Spillane,13.576891,5
DE,10.225017,5,0.367366,0.393301,0.002304,0.02299,0.022994,0.000801,0.222123,53459,Gregory Rousseau,10.225017,4
